"#name","Урыс-адыгэ школ псалъалъэ (Rus-Ady) (eastern)"
"#sourceLang","Russian"
"втянуться","<div style=""margin-left:1em"">I (втянусь, втянешься), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>во что</i> щыгъуэзэн, есэн; <b>втянуться в работу</b> ар лэжьыгъэм псынщIэу есащ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i class=""p""><font color=""green"">тк.</font></i> <i>3</i> <i class=""p""><font color=""green"">л.</font></i> иуэн; <b>щеки втянулись</b> нэкIур иуащ</div>"
"вулкан","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II вулкан; <b>действующий вулкан</b> мыужьыхыжа вулкан; <b>потухший вулкан</b> ужьыхыжа вулкан</div>"
"вход","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> щIыхьыныгъэ, дыхьэныгъэ; <b>плата за вход</b> щIыхьэпщIэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> щIыхьэпIэ, дыхьэпIэ; <b>вход закрыт</b> дыхьэпIэр гъэбыдащ; <b>стоять у входа в театр</b> театр щIыхьэпIэм деж щытын</div>"
"входить","<div style=""margin-left:1em"">II (вхожу, входишь), <i class=""p""><font color=""green"">несов.</font></i></div>"
"вчера","<div style=""margin-left:1em""><i class=""p""><font color=""green"">нареч.</font></i> дыгъуасэ; <b>вчера вечером</b> дыгъуасэ пщыхьэщхьэм, дыгъуэпшыхь</div>"
"вчерашний","<div style=""margin-left:1em""><i>-яя, -ее</i> дыгъуасэрей</div>"
"вчетверо","<div style=""margin-left:1em""><i class=""p""><font color=""green"">нареч.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> плIыкIэ, хуэдип кIэ; <b>вчетверо больше</b> хуэдиплIкIэ нэхъыбэ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> плIащIэу; <b>сложить лист вчетверо</b> тхылъымпIэ напэр плIащIэу зэкIу цIылъхьэн</div>"
"вширь","<div style=""margin-left:1em""><i class=""p""><font color=""green"">нареч.</font></i> ибгъуагъкIэ, ибгъуагъымкIэ</div>"
"въезд","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> дыхьэпIэ, ихьэпIэ (гу сыт хуэдэкIэ); <b>нет въезда</b> дыхьэпIэ иIэкъым</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> дыхьэпIэ; <b>у въезда в село</b> къуажэ дыхьэпIэм деж</div>"
"въехать","<div style=""margin-left:1em"">I (въеду, въедешь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>во что</i> дыхьэн (машинэ, гу хуэдэкIэ); <b>въехать в город</b> къалэм дыхьэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i>во что</i> щIэтIысхьэн, щIыхьэжын; <b>въехать в новый дом</b> унэщIэм щIэтIысхьэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> <i>на что</i> дэкIын, дэкIуеин; <b>въехать на гору</b> бгым дэкIын</div>"
"вы","<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i class=""p""><font color=""green"">мест.</font></i> <i class=""p""><font color=""green"">личн.</font></i>, 2 <i class=""p""><font color=""green"">л.</font></i>, <i class=""p""><font color=""green"">мн.</font></i> фэ; <b>куда вы идете?</b> фэ дэнэ кIуэрэ?; <b>я вам все объясню</b> сэ фэ псори вжесIэнщ, <b>кто с вами был?</b> хэт фэ вдэщIыгъуар?</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <b>Вы</b> (вежливая форма при обращении вместо <b>ты</b>) Фэ; <b>поздравляю Вас!</b> Фэ сынывохъуэхъу!</div>"
"выбегать","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">несов.</font></i> к выбежать</div>"
"выбежать","<div style=""margin-left:1em""><b>разноспр., <i class=""p""><font color=""green"">сов.</font></i></b> къыщIэжын, къыдэжын; <b>выбежать из дому</b> унэм къыщIэжын</div>"
"выбить","<div style=""margin-left:1em"">I (выбью, выбьешь), <i><i class=""p""><font color=""green"">сов.</font></i>, что</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> хэудын, хэкъутыкIын; <b>выбить стекло</b> абджыр хэкъутыкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> утхыпщIын, къыхегъэхун; <b>выбить ковер</b> алэрыбгъум сабэ къыхегъэхун</div>
<div style=""margin-left:1em"">◊ <b>выбить из колеи</b> и гъуэгум техун, и пIэч къишын</div>"
"выбиться","<div style=""margin-left:1em"">I (выбьюсь, выбьешься), <i><i class=""p""><font color=""green"">сов.</font></i>, из чего</i> къыхэкIыжын, къыIэщIэкIын, къикIыжын; <b>выбиться из окружения</b> къэхъуреихьыныгъэм къикIыжын; <b>выбиться из нужды</b> хуэмыщIэныгъэм къыIэщIэкIын</div>
<div style=""margin-left:1em"">◊ <b>выбиться из сил</b> къарур ухын, къарууншэ хъун</div>"
"выбор","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> къыхэхыныгъэ, хэдэныгъэ; <b>выбор пал на него</b> ар къыхахащ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i class=""p""><font color=""green"">мн.</font></i> выборым хэхыныгъэ</div>"
"выборный","<div style=""margin-left:1em""><i>-ая, -ое</i> хах; <b>выборная должность</b> хахыу зыдэув къулыкъу</div>"
"выбрать","<div style=""margin-left:1em"">I (выберу, выберешь), <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i> къыхэхын; хэхын; <b>выбрать книгу</b> тхылъ къыхэхын; <b>выбрать председателя</b> председатель хэхын</div>"
"выбраться","<div style=""margin-left:1em"">I (выберусь, выберешься), <i>доп.</i> шэчын, хуэшэчын, Iыгъыфын, тыфын; <b>лед выдержит машину</b> мылым машинэр ишэчынущ; <b>мальчик не выдержал и заплакал</b> щIалэ цIыкIур хуэмышэчу къэгъащ; <b>выдержал экзамен</b> экзаменыр итыфащ</div>"
"выдержка","<div style=""margin-left:1em""><font color=""sienna"">I</font> <i class=""p""><font color=""green"">ж.</font></i> I шыIэныгъэ, тэмакъкIыхьыгъэ; бэшэчыгъэ; <b>он обладает большой выдержкой</b> абы шыIэныгъэшхуэ иIэщ; <b>проявить выдержку</b> бэшэчагъ къэгъэлъэгъуэн</div>
<div style=""margin-left:1em""><font color=""sienna"">II</font> <i class=""p""><font color=""green"">ж.</font></i> I тхыгъэм щыщ Iыхьэ, тхыгъэм къыхэха</div>"
"выдернуть","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> къыхэчын; <b>выдернуть гвоздь</b> гъущI Iунэ къыхэчын</div>"
"выдохнуть","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> жьыр къызыжьэдегъэхун</div>"
"выдумать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> (налгать) гум къихын, пцIы зэхэлъхьэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> къэгупсысын; <b>выдумать новую игру</b> джэгукIэщIэ къэгупсысын</div>"
"выехать","<div style=""margin-left:1em"">I (выеду, выедешь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> машинэ сыт хуэдэкIэ (мылъэсу) дэкIын; ежьэн; <b>выехать из города</b> къалэм машинэ сыт хуэдэкIэ дэкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <b>выехать из ворот</b> куэбжэм (мылъэсу) дэкIын къыкъуэжын, къыкъуэкIын; <b>из-за угла выехала машина</b> плIанэпэм машинэ къыкъуэжащ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> Iэпхъуэн, щIэкIын; <b>жильцы выехали из квартиры</b> фэтэрым щыпсэуахэр щIэкIащ</div>"
"выжать","<div style=""margin-left:1em"">I (выжму, выжмешь), <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> къыхэкъузыкIын, къыщIэпIытIыкIын; <b>выжать белье</b> жьыщIыгъэр къыхэкъузыкIын; <b>выжать сок из яблока</b> мыIэрысэм и псыр къыщIэхун</div>"
"вызвать","<div style=""margin-left:1em"">I (вызову, вызовешь), <i><i class=""p""><font color=""green"">сов.</font></i> кого</i> къыдэшын; <b>вызвать ученика к доске</b> еджакIуэр доскам къыдэшын <i>кого-что на что и с <i class=""p""><font color=""green"">неопр.</font></i></i> къыхуеджэн, къэгъэкIуэн; <b>вызвать на социалистическое соревнование</b> социалистическэ зэхьэзэхуэм къыхуеджэн; <b>вызвать слезы</b> нэпс къегъэкIуэн</div>"
"выздороветь","<div style=""margin-left:1em"">(выздоровлю, выздоровеешь) <i class=""p""><font color=""green"">сов.</font></i> узыншэ хъужын, хъужыпэн</div>"
"вызов","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II къеджэныгъэ; <b>вызов врача на дом</b> дохутырыр унэм къеджэныгъэ; <b>явиться по вызову</b> къеджэныгъэм ипкъ иткIэ кIуэн</div>"
"вызывать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> и <i>без доп.</i> къеджэн, <b>вызывать врача</b> дохутырым къеджэн</div>"
"выигрывать","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">несов.</font></i> к выиграть</div>"
"выигрыш","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II къэхьэхуныгъэ, къэхьыныгъэ</div>"
"выйти","<div style=""margin-left:1em"">I (выйду, выйдешь), <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> щIэкIын, дэкIын, техьэн, къихьэн, къыхэкIын; <b>выйти из комнаты</b> пэшым къыщIэкIын; <b>выйти на дорогу</b> гъуэгум техьэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <b>выйти в море</b> тенджызым техьэн; <b>выйти на сцену</b> сценэм къихьэн; <b>выйти из состава комиссии</b> комиссэм къыхэкIыжын; <b>выйти из боя</b> зауэм къыхэкIыжын; <b>выйти из терпения</b> зышыIэныгъэр фIэкIуэдын; <b>выйти из употребления</b> къамыгъэсэбэпыж хъун</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> <i class=""p""><font color=""green"">тк.</font></i> <i>3</i> <i class=""p""><font color=""green"">л.</font></i> къыдэкIын; <b>вышла новая книга</b> тхылъыщIэ къыдэкIащ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>4.</b></font> къыхэкIын, къищIыкIын; <b>из него вышел хороший специалист</b> абы IэщIагъэлI хъарзынэ къыхэкIащ; <b>вышла неприятность</b> гурымыхь къыхэкIащ; <b>дело не вышло</b> Iуэхур хъуакъым; <b>из этого ничего не вышло</b> абы зыри къикIакъым</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>5.</b></font> <b>из кого-чего</b> къыхэкIын; <b>он вышел из крестьян</b> ар мэкъумэшыщIэм къыхэкIащ; <b>вышла замуж</b> лIы дэкIуащ; <b>вышел из берегов</b> псыр нэпкъым къыдэкIащ; <b>вышла из себя</b> къэгубжьащ, къэтэмакъкIэщIащ, тэмакъкIэщI къэхъуащ; <b>вышел из строя</b> хузэфIэмыкIыж хъуащ</div>"
"выкачать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> къишын; <b>выкачать воду из бочки</b> фэндырэм псыр къи</div>"
"выключатель","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II зэрагъэункIыфI</div>"
"выключить","<div style=""margin-left:1em"">II, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> гъэувыIэн, гъэуикIыфIын; <b>выключить газ</b> газыр гъэункIыфIын</div>"
"выколоть","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> ищIын</div>
<div style=""margin-left:1em"">◊ <b>хоть глаз выколи</b> нэм къыщIэIэбэр умылъагъуу (кIыфIщ)</div>"
"выкопать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> къэтIын, къитIыкIын, къышIэтIыкIын; <b>выкопать яму</b> мащэ къэтIын</div>"
"выкормить","<div style=""margin-left:1em"">II (выкормлю, выкормишь), <i><i class=""p""><font color=""green"">сов.</font></i>, кого</i> пIын, къэгъэхъун; <b>выкормить младенца</b> сабийр пIын</div>"
"выкройка","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I бзыпхъэ; <b>кроить по выкройке</b> бзыпхъэкIэ бзын</div>"
"выкуп","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> I щхьэщэхуж</div>"
"выкупать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, кого</i> гъэпскIын; <b>выкупать ребенка</b> сабийр гъэпскIын</div>"
"выкупаться","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i> зыгъэпскIын; <b>выкупаться в реке</b> псыежэхым зыщыгъэпскIын</div>"
"выкупить","<div style=""margin-left:1em"">II (выкуплю, выкупишь) <i class=""p""><font color=""green"">сов.</font></i> къэщэхужын (хьэпшып сыт хуэдэ), щхьэщэхуж етын (цIыху щхьэхуит къэщIыжын папщIэ)</div>"
"вылазка","<div style=""margin-left:1em""><i class=""p""><font color=""green"">ж.</font></i> I</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> (<i class=""p""><font color=""green"">воен.</font></i>) дзэр зыдэс быдапIэм дэкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i class=""p""><font color=""green"">перен.</font></i> щэхуу теуэныгъэ, лэжьэныгъэ; <b>вылазка классового врага</b> классовэ бийм и лэжьыгъэ</div>"
"вылезти","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> къипщын; <b>вылезти из ямы</b> мащэм къипщын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i class=""p""><font color=""green"">тк.</font></i> <i>3</i> <i class=""p""><font color=""green"">л.</font></i> (о шерсти, волосах) къыхэкIын, икIын</div>"
"вылезть","<div style=""margin-left:1em""><i class=""p""><font color=""green"">см.</font></i> &lt;&lt;вылезти&gt;&gt;</div>"
"вылет","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II лъэтэныгъэ, илъэтыкIыныгъэ; <b>вылет самолета</b> кхъухьлъатэр щылъатэр</div>"
"вылететь","<div style=""margin-left:1em"">II (вылечу, вылетишь) <i class=""p""><font color=""green"">сов.</font></i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> илъэтын, лъэтэн, <b>ласточка вылетела из гнезда</b> пцIащхъуэр абгъуэм илъэтащ; <b>самолет вылетел из-за облаков</b> кхъухьлъатэр пшэм къыхэлъэтащ</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i class=""p""><font color=""green"">перен.</font></i> къилъэтын; <b>он вылетел из седла</b> ар уанэгум къилъэтащ</div>"
"вылечить","<div style=""margin-left:1em"">II, <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i> гъэхъужын, узыншэ щIыжын</div>"
"вылечиться","<div style=""margin-left:1em"">II, <i class=""p""><font color=""green"">сов.</font></i> зыгъэхъужын, узыншэ зыщIыжын</div>"
"вылить","<div style=""margin-left:1em"">I (вылью, выльешь), <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> къигъэжын: <b>вылить воду из стакана</b> стэканым псыр къигъэжын</div>"
"вылиться","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i>, <i class=""p""><font color=""green"">тк.</font></i> <i>3</i> <i class=""p""><font color=""green"">л.</font></i> къижын; <b>вода вылилась из ведра</b> псыр пэгуным къижащ</div>"
"выловить","<div style=""margin-left:1em"">II (выловлю, выловишь), <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> къыхэубыдыкIын; <b>выловить бревно из воды</b> ентIырыр псым къыхэхын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <b>выловить всю рыбу в озере</b> гуэлым хэс бдзэжьей псори къанэ щымыIэу къэубыдын</div>"
"выменять","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i> къэхъуэжын; <b>выменять книгу на бумагу</b> тхылъыр тхылъымпIэкIэ хъуэжын</div>"
"вымести","<div style=""margin-left:1em"">I (вымету, выметешь), <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> щIэпхъэнкIыкIын, дэпхъэнкIыкIын, пхъэнкIын; <b>вымести мусор</b> пхъэнкIийр щIэпхъэнкIыкIын; <b>вымести комнату</b> пэшыр пхъэнкIын</div>"
"вымолвить","<div style=""margin-left:1em"">II (вымолвлю, вымолвишь), <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> къыжьэдэкIын, къэпсэлъын; <b>он не вымолвил ни слова</b> абы псалъэ къыжьэдэкIакъым</div>"
"вымысел","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II (<i class=""p""><font color=""green"">род.</font></i> вымысла), къэсупсыса, гум къраха</div>"
"вымыть","<div style=""margin-left:1em"">I (вымою, вымоешь), <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i> тхьэщIын, гъэпскIын</div>"
"вымыться","<div style=""margin-left:1em"">I (вымоюсь, вымоешься), <i class=""p""><font color=""green"">сов.</font></i> зыгъэпскIын, зытхьэщIын</div>"
"вымя","<div style=""margin-left:1em""><i class=""p""><font color=""green"">с.</font></i> <i class=""p""><font color=""green"">особ.</font></i>, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> шхуэл</div>"
"вынести","<div style=""margin-left:1em"">I</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i>кого-что</i> къихын, къыщIэхын; <b>вынести вещи из вагона</b> вагоным хьэпшыпхэр къихын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i>что</i> къыхэлъхьэн; <b>вынести вопрос на собрание</b> собранэм Iуэхур къыхэлъхьэн</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> <i><i class=""p""><font color=""green"">в сочет.</font></i> с <i class=""p""><font color=""green"">сущ.</font></i></i> что <b>вынести выговор</b> выговор етын; <b>вынести решение</b> унафэ къэщтэн; <b>вынести благодарность</b> фIыщIэ хуэщIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>4.</b></font> <i>что</i> шэчын, фэм дэхуэн, гъэвын; <b>вынести сильную боль</b> уз хьэлъэ гъэвын. <i class=""p""><font color=""green"">несов.</font></i> к вынести <b>не выносить кого-чего-л.</b> хуэмышэчын, лъагъу мыхъун; <b>я его не выношу</b> сэ ар схуэшэчыркъым</div>"
"выносливый","<div style=""margin-left:1em""><i>-ая, -ое</i> бэшэч; <b>выносливый человек</b> цIыху бэшэч</div>"
"вынудить","<div style=""margin-left:1em"">II (вынужу, вынудишь) <i><i class=""p""><font color=""green"">сов.</font></i> кого-что</i> ехулIэн, хэгъэзыхьауэ зыгуэр егъэлэжьын; <b>вынудить согласиться</b> арэзы хъуну хэгъэзыхьын (ехулIэн)</div>"
"вынуть","<div style=""margin-left:1em"">I (выну, вынешь), <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> къихын; <b>вынуть руки из карманов</b> Iэр жыпым къихын</div>"
"вынырнуть","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i> зыкъыщIэгъэмбрыукIыжын, зыкъыдрегъэхьеижын</div>"
"выпасть","<div style=""margin-left:1em"">I (выпаду, выпадешь), <i class=""p""><font color=""green"">сов.</font></i> къихун, къыIэщIэхун; <b>платок выпал из кармана</b> бэлътокур жыпым къихуащ <i class=""p""><font color=""green"">тк.</font></i> <i>3</i> <i class=""p""><font color=""green"">л.</font></i> (об осадках) къесын, къешхын; <b>выпал снег</b> уэс къесащ</div>
<div style=""margin-left:1em"">◊ <b>выпасть на долю</b> къылъысын, и Iыхьэ къыхэкIын</div>"
"выпачкать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, кого-что</i> уцIэпIын, уфIеин</div>"
"выпачкаться","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i> зыуцIэпIыжын, зыуфIеижын</div>"
"выписать","<div style=""margin-left:1em"">I (выпишу, выпишешь), <i><i class=""p""><font color=""green"">сов.</font></i> кого-что <i class=""p""><font color=""green"">в разн. знач.</font></i></i> къыхэтхыкIын, къегъэхьын, къыщIэтхыкIыжын; <b>выписать цитату</b> цитатэ къыхэтхыкIын; <b>выписать газету</b> газет къегъэхьын; <b>выписать кого-л. из больницы</b> сымаджэщым зыгуэр къыщIэтхыкIыжын</div>"
"выпить","<div style=""margin-left:1em"">I (выпьешь, выпью), <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> ифын, ефэн; <b>выпить стакан чаю</b> шей стэкан ефэн; <b>выпить воды</b> псы ефэн</div>"
"выплыть","<div style=""margin-left:1em"">I (выплыву, выплывешь), <i class=""p""><font color=""green"">сов.</font></i> къыдэсеижын, къыщIэсыкIыжын</div>"
"выплюнуть","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> къэубжьытхыжын, къыжьэдэдзыжын</div>"
"выполнение","<div style=""margin-left:1em""><i class=""p""><font color=""green"">с.</font></i> II, <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> гъэзэщIэныгъэ; <b>выполнение плана</b> планыр гъэзэщIэныгъэ</div>"
"выполнить","<div style=""margin-left:1em"">II, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> гъэзэщIэн; <b>выполнить работу</b> лэжьыгъэр гъэзэщIэн</div>"
"выправить","<div style=""margin-left:1em"">II (выправлю, выправишь), <i><i class=""p""><font color=""green"">сов.</font></i>, что, <i class=""p""><font color=""green"">в разн. знач.</font></i></i> узэхужын, зэгъэзэхуэжын; <b>выправить ложку</b> лошкIэр узэхужын; <b>выправить рукопись</b> Iэрытхыр зэгъэзэхуэжын</div>"
"выпросить","<div style=""margin-left:1em"">II (выпрошу, выпросишь), <i><i class=""p""><font color=""green"">сов.</font></i>, что, чего</i> къэлъэIухуэн, лъэIукIэ къеIыхьын; <b>выпросить денег</b> ахъшэ къэлъэIухуэн</div>"
"выпрыгнуть","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i> къыдэлъын, къилъын; <b>выпрыгнуть из окна</b> щхьэгъубжэм къыдэлъын</div>"
"выпрямить","<div style=""margin-left:1em"">II (выпрямлю, выпрямишь), <i><i class=""p""><font color=""green"">сов.</font></i>, что</i> узэхужын, къэгъэшыжын; <b>выпрямить проволоку</b> гъущI кIапсэр узэхужын</div>"
"выпрячь","<div style=""margin-left:1em"">I (выпрягу, выпряжешь), <i>кого-что</i> щIэтIыкIын; <b>выпрячь лошадь</b> шыр щIэтIыкIын</div>"
"выпуклый","<div style=""margin-left:1em""><i>-ая, -ое</i> къипща, къигъэпща; <b>выпуклое стекло</b> абдж къигъэпща</div>"
"выпуск","<div style=""margin-left:1em""><i class=""p""><font color=""green"">м.</font></i> II <i class=""p""><font color=""green"">в разн. знач.</font></i> къыщIэгъэкIыныгъэ, къыдэгъэкIыныгъэ; <b>выпуск товаров</b> хьэпшыпхэр къыщIэгъэкIыныгъэ; <b>выпуск книг</b> тхылъхэр къыдэгъэкIыныгъэ; <b>прошлогодний выпуск</b> нэгъабэ къыщIагъэкIахэр</div>"
"выпускной","<div style=""margin-left:1em""><i>-ая, -ое</i> къызэрыщIагъэкI; <b>выпускные экзамены</b> къызэрыщIагъэкI экзаменхэр</div>"
"выпустить","<div style=""margin-left:1em"">II (выпущу, выпустишь)</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> щIэгъэкIын, щIэутIыгацыкIын, къигъэжын, утIыпщыжын, игъэкIын; <b>выпустить ребенка</b> сабийр щIэгъэкIын; <b>выпустить воду из крана</b> краным псы къигъэжын, <b>выпустить на свободу</b> щхьэхуит щIыжын; <b>выпустить снаряд</b> топышэр игъэкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> <i>кого</i> къыщIэгъэкIын; <b>выпустить студентов</b> студентхэр къыоцIэгъэкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>3.</b></font> <i>что</i> къыщIэгъэкIын, къыдэгъэкIын; <b>выпустить новые товары</b> хьэпшыпыщIэхэр къыщIэгъэкIын; <b>выпустить новый роман</b> романыщIэ къыдэгъэкIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>4.</b></font> <i>что</i> къидзын, къигъэжын; <b>выпустить жало</b> шэрэзыр къидзын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>5.</b></font> <i>что</i> къэутIыпщын, къехьэхын; <b>выпустить рукав</b> Iэщхьэр къехьэхын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>6.</b></font> дэгъэхун, дэутIыпщыкIын; <b>выпустить главу из книги</b> тхылъым псалъащхьэ дэгъэхун</div>"
"выпутаться","<div style=""margin-left:1em"">I, <i class=""p""><font color=""green"">сов.</font></i> къыхэкIын; <b>выпутаться из долгов</b> щIыхуэм къыхэкIын</div>"
"выработать","<div style=""margin-left:1em"">I, <i><i class=""p""><font color=""green"">сов.</font></i>, что</i></div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> къэлэжьын, къэхьын, щIын, къыщIэгъэкIын; <b>выработать триста трудодней</b> трудодень щищ къэлэжьын; <b>выработать много тракторов</b> трактор куэд щIын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> зэхэлъхьэн, хэлъхьэн; <b>выработать программу</b> программэ зэхэлъхьэн; <b>выработать характер</b> хьэлщэн хэлъхьэн</div>"
"выражение","<div style=""margin-left:1em""><i class=""p""><font color=""green"">с.</font></i> II</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>1.</b></font> <i class=""p""><font color=""green"">мн.</font></i> <i>нет</i> къэгъэлъэтъуэныгъэ, къищыныгъэ; <b>выражение глаз</b> мэм къищын</div>
<div style=""margin-left:1em""><font color=""darkblue""><b>2.</b></font> жыIэгъуэ; <b>меткое выражение</b> жыIэгъуэ шэрыуэ; <b>образное выражение</b> жыIэгъуэ дахэ</div>"
"выразительный","<div style=""margin-left:1em""><i>-ая, -ое</i> наIуэ, гъэхуа, IупщI; <b>выразительная речь</b> псэлъэкIэ гъэхуа; <b>выразительное лицо</b> нэгу зэлъыIуха</div>"
