"#name",Урыс-адыгэ школ псалъалъэ (Rus-Ady) (eastern)
"#sourceLang","Russian"
"деньги","тк. мн. (денег, деньгам, деньгами, о деньгах) ахъшэ; бумажные деньги тхылъымпIэ ахъшэ; крупные деньги ахъшэ зэгуэт; мелкие деньги ахъшэ жьгъей; ни за какие деньги зыкIи, сыт хуэдиз ахъшэкIи"
"депутат","м. II депутат; Совет народных депутатов Народнэ депутатхэм я Совет"
"дёргать","I, несов.
1. кого-что екъун, хущIэрыуэу кIуэн; дергать за рукав кого-л. зыгуэрым и Iэщхьэ къекъун
2. къыхэчын, Iучын; дергать зубы дзэр Iучын"
"деревенский","-ая, -ое къуажэ, къуажэм ехьэлIа; деревенский житель къуажэм щыпсэу"
"деревня","ж. I къуажэ; жить в деревне къуажэм щыпсэун"
"дерево","с. II
1. жыг; лиственные деревья пщIащэ къызыпыкIэ жыг
2. (древесина) пхъэхэкI, пхъащхьэ"
"деревообделочный","-ая, -ое пхъэм елэжь; деревообделочный цех пхъэм елэжь цех"
"деревянный","-ая, -ое пхъэ, пхъэм къыхэщIыкIа; деревянная кровать пхъэ гъуэлъыпIэ"
"держава","ж. I державэ, къэралыгъуэ; Советская держава Советскэ державэ (къэралыгъуэ)"
"держать","II (держу, держишь), несов.
1. кого-что Iыгъын; держать книгу в руках тхылъыр Iыгъын; держать ребенка сабийр Iыгъын; держать кого-л. за руку зыгуэр зыгуэрым и IэмкIэ Iыгъын что
2. Iыгъын, убыдын; плотина держит воду псыIущIэм псыр иIыгыц; держать на улице щIыбым щыIыгъын; держать больного в постели сымаджэр пIэм хэгъэлъын; держать дверь открытой бжэр Iухауэ щыгъэтын
3. гъэхъун, хьын; держать кур джэд гъэхъун
4. в сочет. с сущ. (что) держать ответ жэуап хьын; держать пари баз ихьэн; держать путь гъуэгу тетын; держать речь къэпсэлъэн; держать экзамен экзамен тын
◊ держать себя зыIыгъын; держать ухо востро дэIуэн; темыплъэкъукIын; держать чью-л. сторону зыгуэрым и телъхьэн, къыдэщIын; держать язык за зубами бзэ быдэу щытын, мыпсэлъэн"
"держаться","II (держусь, держишься), несов.
1. за кого-что Iыгъын, убыдын, зыкIэрыщIэн; держаться за руки Iэр Iыгъын; держаться за ручку двери бжэкъур убыдауэ Iыгъын
2. на чем и без доп. тк. 3 л. Iыгъын; пуговица чуть держится на одной нитке щIыIур ерагъыу Iуданэ закъуэм иIыгъщ
3. чего, за кем-чем иужь итын; держаться за повозкой гум и ужь итын
4. перен. зыIыгъын; еле держится на ногах ерагъыу и лъэм иIыгъыф къудейщ; держаться прямо занщIэу зыIыгъын; держаться на воде псым хэсын (телъын)
5. перен. (вести себя) зыIыгъын; он держится хорошо абы фIыуэ зиIыгыц; держись! зыIыгъ! умыбэлэрыгъ! держитесь в стороне лъэныкъуэкIэ фыщыт (зыщыфIыгъ)"
"дерзкий","-ая, -ое нэмысыншэ, Iулыдж зыхэмылъ, нэлат; дерзкий мальчишка щIалэжь цIыкIу нэлат; дерзкий ответ Iулыдж зыхэмылъ жэуап; дерзкий поступок укIыти шыни зыхэмылъ бгъэдыхьэкIэ (Iуэхугъуэ)"
"дерзость","ж. III дыджагъ, нэмысыншагъэ, Iулыдж хэмылъыныгъэ; говорить дерзости нэмысыншагъэ жыIэн"
"дёрнуть","I, сов., однокр. к дёргать"
"десант","м. II (воен.) десант (къэзауэ лъэныкъуэм иIыгъ щIы кIапэм ирагъэтIысыкIа зауэлI гуп); высадить десант десант егъэтIысэхын"
"десна","ж. I, дзэл, дзэр зыхэт"
"десятиклассник","м. II епщIанэ класссым щэджэ"
"десятилетие","с. II
1. (срок) илъэсипщI пIалъэ
2. (годовщина) илъэсипщI щрикъу лъэхъэнэ"
"десятилетка","ж. I ику ит еджапIэ; кончить десятилетку ику ит еджапIэр къэухын"
"десятичный","-ая, -ое десятична; десятичный счет пщIырыпщIу бжэныгъэ"
"десяток","м. II (род. десятка) пщIы; десяток яиц джэдькIипщI; ему пошел седьмой десяток ар илъэс блыщIым хыхьащ; не робкого десятка мышынэ, сытми тегушхуэ цIыху"
"десятый","-ая, -ое числ. порядк. епщIанэ, епщIанэрей, пщIанэ; десятая часть Iыхьэ пщIанэ; десятый день епщIанэ махуэ"
"десять","числ. пщIы"
"деталь","ж.
1. (подробность) къупынщыпын, къэмынэIауэ зэпкърыхыныгъэ; изложить со всеми деталями къэмынэIауэ нэсу тепсэлъыхьын
2. (часть механизма) Iыхьэ, деталь; тракторные детали тракторым хэлъ деталь"
"детально","нареч. нэсу, къупынщыпыну; детально изложите нэсу, дэмыгъэхуIауэ къэгъэлъэгъуэн"
"детдом","(детский дом), м. II детдом, сабий зеиншэхэр щапI унэ"
"детёныш","м. II шыр; детеныш волчицы дыгъужь анэм и шыр"
"дети","мн. сабий
1. театр для детей сабийхэм папщIэ театр
2. (сыновья, дочери) бын; мои дети си бынхэр"
"детский","-ая, -ое сабий, сабийм ехьэлIа; детские вещи сабий хьэпшыпхэр; детский сад сабий сад"
"детство","с. II, мн. нет сабиигъуэ; счастливое детство сабиигъуэ насыпыфIэ; впасть в детство сабиигъуэм нувэжын"
"деть","I (дену, денешь), сов., кого-что (разг.) хьын, гъэтIылъын; куда ты дел мою книгу? Дэнэ пхьа си тхылъыр?он не знает куда себя деть абы и щхьэр здихьын ищIэркъым"
"деться","I (денусь, денешься), сов. (разг.) кIуэн; куда делась тетрадь? тетрадыр дэнэ кIуа? никуда не денешься зыщIыпIи укIуэнукъым (укъелынукъым)"
"дефект","м. II сэкъат, ныкъусаныгъэ, щыщIэныгъэ; товар с дефектом ныкъусаныгъэ зиIэ хьэпшып; с дефектом сэкъат зиIэ бзэ"
"дефис","м. II дефис, екъуа цIыкIу: это слово пишется через дефис мы псалъэр екъуа цIыкIукIэ зэпэщIэхауэ ятх"
"дефицит","м. II
1. убыткэ, ухэзылъафэ, хэхъуэм нэхърэ хэщIыр нэхъыбэн
2. зыгуэр хуримыкъуныгъэ, хуэныкъуэныгъэ; дефицит в товарах хьэпшыпхэмкIэ хуримыкъуныгъэ"
"дефицитный","-ая, -ое
1. убыткэ къазыхь, ухэзылъафэ: дефицитное дело ухэзылъафэ Iуэху
2. зыхурикъун хуэдиз щымыIэ; дефицитный товар хьэпшып гъуэтыгъуей"
"дециметр","м. II дециметр (метрым и Iыхьэ пщIанэ)"
"дешевизна","ж. I, мн. нет пудыныгъэ, уасэм и пудыгъуэ"
"дёшево","нареч.
1. (по низкой цене) пуду; дешево купить пуду къэшэхун
2. перен. (разг.) (легко, без тяжелых последствий) къаугъэншэу, тыншу, фIьгрыфIкIэ; ом дешево отделался ар тыншу къыхэкIащ"
"дешёвый","-ая, -ое пуд; дешевая ткань щэкI пуд"
"деятель","м. II лэжьакIуэ (Iуэхушхуэ зезыхьэ); общественный деятель общественна лэжьакIуэ; государственный деятель къэрал Iуэху зезыхьэ лэжьакIуэ; деятель культуры культурэм и лэжьакIуэ"
"деятельность","ж. III лэжьыгъэ, IуэхущIафэ; общественная деятельность общественнэ лэжьыгъэ; научная деятельность научнэ лэжьыгъэ; деятельность сердца гум и лэжьыгъэр; многогранная деятельность IуэхущIафэ зэхуэмыдэхэр"
"деятельный","-ая, -ое зэфIэкI зиIэ хыхьэхэкI, IэкIуэлъакIуэ; деятельный человек хыхьэхэкI зиIэ цIыху; принимать деятельное участие в работе лэжьыгъэм IэкIуэлъакIуэу хэтын"
"джемпер","м. II джемпер, цыджанэ"
"диагноз","м. II диагноз, узыфэр зыхуэдэр (къэщIэн; ставить диагноз узыфэр зыхуэдэр гъэувын)"
"диаграмма","ж. I диаграммэ; диаграмма роста промышленности промышленностым зэрызиужьым и диаграммэ"
"диалект","м. II диалект, псэлъэкIэ хэха; малкинский диалект малкэдэсхэм я псэлъэкIэ"
"диалектика","ж. I диалектикэ"
"диалектический","-ая, -ое диалектическэ; диалектический материализм диалектическэ материализм"
"диалог","м. II зэпсэлъэныгъэ (диалог) между ними произошел интересный диалог а тIум я кум зэпсэлъэныгъэ гъэщIэгъуэн дэлъащ"
"диван","м. II диван; мягкий диван диван щабэ"
"днвный","-ая, -ое хьэлэмэт, гурыхь, дахащэ; дивный голос макъ дахащэ"
"диво","с. II, мн. нет (разг.) икъукIэ хьэлэмэт, гъэщIэгъуэн, гурыхь; на диво икъукIэ яфIэхьэлэмэту; диву даваться гъэщIэгъуэныщэ къыщыхъун"
"дикий","-ая, -ое
1. (о растениях) езыр-езыру къэкI, ямыгъэтIыса къэкIыгъэ; дикая яблоня мэз мыIэрысей; дикая утка губпьуэ бабыщ; дикие скалы цIыху здэмыкIуа къыр
2. перен. (грубый) мыгъасэ, хьэкIэкхъуэкIагъэ зыхэлъ; дикий нрав хьэл гурымыхь, сэхъуа
3. перен. (разг.) (странный) гъэщIэгъуэн, телъыджэ; дикий поступок бгъэдыхьэкIэ телъыджэ
4. перен. (застенчивый) укIытэх"
"диковин(к)а","ж. I гъэщIэгъуэныщэ, телъыджэ; что за диковинка? сыт телъыджэ? быть в диковинку кому-л. зыгуэрым телъыджэ щыхъуи"
"дикорастущий","-ая, -ее езыр-езыру къэкI мэз (хамысауэ, трамысауэ); дикорастущий виноград мэз жызум"
"диктант","ж. II диктант; контрольный диктант къызэрапщытэ диктант"
"диктатура","ж. I диктатурэ (къару псори зыбгъэдэлъ власть); диктатура пролетариата пролетариатым и диктатура"
"диктовать","I, несов., что
1. къеджэурэ егъэтхын, диктант егъэтхын; диктовать стихотворение усэр къеджэурэ егъэтхын
2. зыгуэр ищIэным, илэжьыным Iэмал имыIэу ехулIэн; диктовать свое желание езым фIэфIыр егъэщIэн 3 и фIэщ щIын, жеIэн; это ему диктовала совесть ар абы и напэм къыжриIэрт"
"диктор","м. II диктор; диктор телевидения телевиденэм и диктор"
"диплом","м. II диплом (IэщIагъэ щагъуэт еджапIэ къэзыухым ират щыхьэт тхылъ); диплом об окончании института институт къызэриухамкIэ диплом"
"дипломатический","-ая, -ое
1. дипломатическэ; дипломатический представитель дипломатическэ лIыкIуэ
2. перен. хьилэшы, бзаджагъэм хуэIэзэ"
"дипломатия","ж. I дипломатие; езым и къэрал щIыб, дунейпсо политикэр гъэзэщIэным теухуауэ правительствэм и IуэхущIафэхэр"
"директор","м. II директор; директор завода заводым и директор"
"дирижёр","м. II дирижер; дирижер оркестра оркестрым и дирижер"
"диск","м. II (спорт.) диск; метать диск дискыр дзын"
"дискуссия","ж. I дискуссие"
"диспут","м. II диспут"
"дистанция","ж. I, жыжьагъ, зыгуэрхэм я кум дэлъ жыжьагъ"
"дисциплина","I ж. I, мн. нет хабзэ гъэувам тетын дисциплинэ; соблюдать дисциплину хабзэ ягъэувам тетын
II ж. I дисциплина (наукэ лIэужьыгъуэ)"
"дисциплинированный","-ая, -ое жыIэдаIуэ, щэныфIэ, дисциплинэ зыхэлъ дисциплинированный ученик еджакIуэ жыIэдаIуэ"
"дитя","с. особ. скл. сабий; он еще дитя ар иджыри сабийщ"
"длина","ж. I кIыхьагъ; измерить стол в длину стIолым и кIыхьагъыр къэпщын; длина улицы уэрамым и кIыхьагъыр; длина реки псым и кIыхьагъыр"
"длинный","-ая, -ое кIыхь; длинная улица уэрам кIыхь; длинное платье бостей кIыхь; длинный день махуэ кIыхь; длинный рассказ хъыбар кIыхь; рукава длинны Iэщхьэхэр кIыхьщ"
"длительность","ж. III зэманым и кIыхьагъ; длительность рабочего дня лэжьэгъуэ махуэм и кIыхьагъыр"
"длительный","-ая, -ое кIыхьлIыхь; длительный разговор псалъэмакъ кIыхьлIыхь"
"длиться","несов., тк. 3 л. екIуэкIын; учеба длилась две недели еджэныгъэр тхьэмахуитIкIэ екIуэкIащ"
"для","предлог с род., передается послелогами
1. (предназначение для чего-л.) щхьэкIэ, папщIэкIэ; книга для детей сабийхэм папщIэ тхылъ; ящик для писем и газет письмохэмрэ газетхэмрэ папщIэ ашык; мяч для игры зэрыджэгуи топ; вода для питья зэфэн псы; трудно для меня сэркIэ гугъущ; вредно для здоровья узыншагъэмкIэ зэранщ
2. с какой целью? сыт папщIэ? сыт мурадкIэ? самолет снижается для посадки кхъухьлъатэм тIысын папщIэ лъахъшэ зещI; для того чтобы хорошо бегать, надо тренироваться фIыуэ къэбжыхьын папщIэ, абы зегъэсэн хуейщ
3. (в качестве чего? сыту?) взять для образца щапхъэу къэщтэн"
"дневник","м. II (род. дневника) дневник; ученический дневник еджакIуэ дневник; вести дневник дневник тхын"
"дневной","-ая, -ое махуэ; дневная работа махуэ лэжьыгъэ, дневной сторож махуэ хъумакIуэ"
"днём","нареч. махуэм; днем занимаемся махуэм доджэ вчера днем дыгъуасэ махуэу; завтра днем пщэдей махуэу"
"дно","с. II, мн. нет
1. щIэ, лъащIэ; песчаное дно пшахъуэ лъащIэ; на дне моря тенджызым и щIэм
2. (мн. донья, род. доньев) щIэ, лъащIэ; осталось на дне ведра пэгуи лъащIэм къыщIэнащ; починили дно ведра пэгуныщIэр ядыжащ; вверх дном къызэгъэдзэкIын; до дна и щIэм нэс (и кIэм нэс); идти ко дну щIилъэфэн, екIэкIуэн"
"до","предлог с род.
1. (куда? дэнэкIэ?) передается послелогами нэс, нэсыхукIэ, къэс, къэсыхукIэ; проводить до школы е жапIэм нэс дэкIуэтэн; доехать до Москвы Москва нэс кIуэн; от Москвы до Ленинграда шестьсот пятьдесят километров Москва къыщыщIэдзауэ Ленинград нэс километр щихрэ тхущIрэ дэлъщ
2. (когда? до какого времени? сыт щыгъуэ? дапщэщ? сыт пщIоидэ?) передается послелогами пщIондэ, щыгъуэ, суффиксом ху отложить до завтра пщэде пщIондэ къэгъэнэн; кончить работу до вечера лэжьыгъэр пщыхьэщхьэ пщIондэ ухын; он играл до моего прихода ар сыкъэсыху джэгуащ
3. (когда? сыт щыгъуэ? дапщэщ?); передается послелогом и пэкIэ; до войны зауэм и пэкIэ; до нашей эры ди эрэм и пэкIэ
4. (сколько? дапщэ? сыт хуэдиз?) передается послелогом нэс; зал вмещает до ста человек залым цIыхуищэм нэс щIохуэ; они вылавливают до двух тонн рыбы абыхэм бдзэжьей тоинитIым нэс къаубыд; от мала до велика цIыкIу ини дотронутся до картины сурэтым еIусэн; кричать до хрипоты макъыр икIыху кIиин; начистить до блеска цIууху лъэщIын"
"добавить","II (добавлю, добавишь) сов., что, чего щIыгъуи, хэлъхьэн; добавить денег ахъшэ щIыгъун; добавить три рубля сомищ щIыгъуи"
"добавлять","I, несов. к добавить"
"добавочный","-ая, -ое щIыгъуа, хэлъхьа; добавочное время зэман щIыгъуа"
"добегать","I, несов. к добежать"
"добежать","разноспряг., сов. нэжысым, зыгуэрым нэс жэн; добежать, до магазина тыкуэным нэс жэн"
"добела","нареч.
1. (чистое) къабзэу, хужь хъуху; отмыть добела хужь хъуху лъэщIын
2. раскаленный добела хужь хъуху гъэплъа"
"добиваться","I, несов. к добиться"
"добиться","I (добьюсь, добьешься), сов., что зыIэрыгъэхьэн, зэгъэхъулIэн; он добился больших успехов абы ехъулIэныгъэшхуэ зыIэригъэхьащ; он добился своего ар езыр зыхуейр зригъэгъуэтащ"
"доблестный","-ая, -ое хахуэ, щытхъу зиIэ; доблестная Советская Армия Советскэ Армэ хахуэр; доблестный труд щытхъу зиIэ лэжьыгъэ"
"доблесть","ж. III хахуагъэ, щытхъу пылъыныгъэ; трудовая доблесть гуащIэдэкI хахуагъэ"
"добраться","I (доберусь, доберешься) сов. до кого-чего нэсыжын добрались до дома (до дому) унэм дынэсыжащ
◊ я до тебя доберусь! сэ уэ пхуэфI сыхъунщ (сэ уэ сыплъэIэсынщ)"
"добро","с. II, мн. нет
1. угъурлыгъэ, фIы, жумартыгъэ, желать добра кому-л. зыгуэрым фIыкIэ ехъуэхъун (фIы къылъысым фIэфIын)
2. мылъку, фIыгъуэ; чужое добро хамэ мылъку; добро по, жаловать! къеблагъэ!"
"доброволец","м. II (род. добровольца) ирамыджэу езым и фIэфIыныгъэкIэ дзэм хыхьа, доброволец; он добровольцем ушел на войну ар езым и фIэфIыныгъэкIэ зауэм кIуащ"
"добровольно","нареч. хэгъэзыхь хэмылъу, арэзыуэ; добровольно пошел на ферму ар зыуэ фермэм кIуащ"
"добровольный","-ая, -ое хэгъэзыхь зыхэмылъ, фIэфIыныгъэ зыхэлъ, добровольнэ; добровольный труд яфIэфIу ягъэзащIэ лужьыгъэ; добровольное общество добровольнэ обществэ"
"добродушный","-ая, -ое гу щабэ, хьэлэл; добродушный человек цIыху гу щабэ"
"доброкачественный","-ая, -ое фIы, фIагъ зиIэ; доброкачественный товар фIагъ зиIэ хьэпшып"
"добросовестный","-ая, -ое хьэлэл, егугъу, хьэрэмыгъэншэ; добросовестный работник лэжьакIуэ хьэлэл (егугъуу лажьэ)"
"доброта","ж. I, мн. нет угъурлыгъа, берычэтыгъэ"
"добрый","-ая, -ое
1. гуапэ, угъурлы, хьэлэл, жумарт; добрый человек цIыху угъурлы (жумарт); доброе сердце гу хьэлэл; добрые глаза гуапэу къоплъ нэхэр
2. фIы, угъурлы, дагъуэншэ; добрые вести хъыбарыфI; добрые дела Iуэху угъурлы (IуэхуфI); доброе утро! уи пщэдджыжь фIыуэ! добрый вечер! уи гацыхьэщхьэ фIыуэ! в добрый час! сыхьэт махуэ ухузэ! по доброй воле фIэфIу; люди доброй воли фIы зигу илъ цIыхухэр"
"добывать","I, несов. к добыть; добыть уголь фIамыщI къыщIэхын"
"добыть","I (добуду, добудешь), сов., что, чего
1. къэгъуэтын, лъыхъуэн; добыть необходимые книги зыхуеину тхылъхэр къэгъуэтын
2. къыщIэхын; добыть тысячу тонн угля сверх плана планым и лейуэ фIамыщI тонн мин къыщIэхын"
"добыча","ж. I, мн. нет
1. къыщIэхыныгъэ; добыча угля фIамыщI къыщIэхыныгъэ
2. къэгъуэта хъуа; вернуться с добычей къэгъуэтар Iыгъыу къэгъэзэжын (зылъыхъуар къэгъуэтауэ къэгъэзэжын)"
"довезти","I, сов., кого-что нэшэсын: зыгуэрым нэс шэн; до города нас довезли на машине къалэм нэс дэ машинэкIэ дашащ"
"доверенность","ж. III дзыхь тхылъ; получить по доверенности дзыхь къызэрыпхуащI тхылъкIэ къеIыхын"
"доверие","с. II, мн. нет дзыхь; оказать доверие дзыхь егъэзын: питать доверие к кому-л. зыгуэрым дзыхь хуэщIын; войти в доверие к кому-л. зыгуэрым дзыхь зыхуегъэщIын"
"доверить","II, сов., кому-чему кого-что и с неопр. дзыхь хуэщIын; доверить кому-л. свое имущество зыгуэрым уи мылъкур дзыхь хуэщIын; доверить получить деньги ахъшэ къыIихыну дзыхь хуэщIын"
"доверху","нареч. из дыдэу, къыщхьэпрылъэлъу, и щхьэм нэсу; наполнить доверху из дыдэу (къыщхьэпрылъэлъу) икIутэн"
"доверчивый","-ая, -ое жыIэзыфIэщ; доверчивый человек цIыху жыIэзыфIэщ"
"доверять","I, несов.
1. несов. к доверить
2. кому (верить) фIэщ хъуи, дзыхь хуэщIын; я ему доверяю ар си фIэщ мэхъу, сэ абы дзыхь хузощI"
"довести","I (доведу, доведешь), сов.
1. кого-что до чего нэшэсын, нэгъэсын; довести старика до дома (до дому) лIыжьыр и унэ нэшэсыжын; довести дорогу до села гъуэгур къуажэм нэгъэсын; довести дело до конца Iуэхур и кIэм нэгъэсын
2. кого до чего егъэзын, нэгъэсын; он довел его до слез ар абы гъыным нигъэсащ; довести до сведения хъыбар егъэщIэн"
"довод","м. II тегъэщIапIэ хъу Iуэхугъуэ; убедительный довод хьэкъыу тегъэщIапIэ хъу Iуэхугъуэ"
"доводить","II (довожу, доводишь) несов. к довести"
"довоенный","-ая, -ое зауэм и пэ; довоенное время зауэм и пэ зэман"
"довозить","II (довожу, довозишь) несов. к довезти"
"довольно","1. нареч. арэзыуэ, фIэфIу; довольно улыбаться арэзыуэ гуфIэн
2. в знач. сказ. безл. ирикъунщ, куэдщ; с тебя и этого довольно уи дежкIэ ари куэдщ
3. нареч. фIыуэ, мымащIэу; довольно тепло хуабэфIщ (фIыуэ хуабэщ); довольно поздно фIыуэ хэкIуэтащ; довольно! хъунщ! (ирикъунщ!) довольно шалить! ирикъунщ узэрыкъуейщIеяр!"
"довольный","-ая, -ое арэзы; довольный вид арэзы теплъэ; я доволен им сэ абы сыхуэарэзыщ"
"довольство","с. II, мн. нет
1. хуэщIауэ псэуныгъэ, зыхуей игъуэтыныгъэ; жить в довольстве зыхуей гъуэту псэун
2. арэзыныгъэ; его лицо выражало довольство абы и нэкIум арэзыныгъэ къищт"
"догадаться","I сов., о чем гу лъытэн, къэщIэн; я догадался, о чем он говорил абы зи гугъу ищIыр къэсщIащ"
"догадка","ж. I хуэгъэфэщэныгъэ, хуэгъэфащэ; теряться в догадках хуэгъэфэщэныгъэм хэзэрыхьыжын, хуигъэфащэр и фIэщ мыхъужын, Iэнкун хъун"
"догадливый","-ая, -ое къэщIэрей, гукъэкI, гулъытэ зиIэ; догадливый человек цIыху къэщIэрей, гукъэкI зиIэ"
"догадываться","I, несов. к догадаться"
"догнать","(догоню, догонишь), сов., кого-что (прям., перен.) лъэщIыхьэн, кIэлъыщIыхьэн; догнать беглеца щIэпхъуэжам лъэщIыхьэн"
"договариваться","I, несов. к договориться"
"договор","м. зэгурыIуэныгъэ, зэухылIэныгъэ, договор; договор о дружбе и взаимопомощи зэныбжьэгъугъэмрэ зэдэIэпыкъуныгъэмрэ теухуа договор (зэгурыIуэныгъэ); заключить договор договор зэщIылIэн (зэгурыIуэныгъэ зэщIылIэн); подписывать договор зэгурыIуэныгъэм Iэ тедзэн; расторгать договор зэгурыIуэныгъэр къутэжын"
"договорённость","ж. III, мн. нет зэгу рыIуэныгъэ; действовать на основе договоренности зэгурыIуэныгъэм (зэрызэгурыIуам) тету Iуэхур егъэкIуэкIын"
"договорить","II, сов., что без доп. нэпсэлъысын, псалъэр и кIэм нэгъэсын; ему не дали договорить абы и псалъэр и кIэм ирагъэгъэсакъым"
"договориться","II, сов., о чем и с неопр. зэгурыIуэн, зэпсэлъэн; договориться о поездке зэрежьэнумкIэ зэгурыIуэн (зэпсэлъэн)"
"догонять","I, несов. к догнать"
"догореть","II, сов., тк. 3 л. и кIэм нэс исын, сын иухын, зэхэкIыжын; дрова догорели пхъэр и кIэм нэс исащ (сын иухащ); костер догорел мафIэр зэхэкIыжащ"
"доделать","I, сов., что нэщIысын, нэгъэсын, щIын ухын; доделать работу лэжьыгъэр нэгъэсын"
"доесть","особ. спр., сов., что шхын ухын; доесть яблоко мыIэрысэр шхын ухын"
"доехать","I (доеду, доедешь), сов., до чего нэсын, нэс кIуэн (гу, машинэ сыт хуэдэкIэ, лъэсу мыхъуу); доехать до города къалэм нэс кIуэн"
"дождаться","сов., кого-чего пэплъэн; дождаться поезда мафIэгум пэплъэн; дождаться победы текIуэныгъэм пэплъэн"
"дождливый","-ая, -ое уэлбанэрилэ, уэлбаналэ; дождливое лето гъэмахуэ уэлбанэрилэ"
"дождь","м. II (род. дождя) уэшх; проливной дождь уэшхышхуэ; дождь идет уэшх къошх; идет мелкий дождь уэшх шабэ къошх; попасть под дождь уэшхым хиубыдэн"
"доза","ж. I, дозэ, Iыхьэ гуэр; небольшими дозами Iыхьэ мыниурэ лошадиная доза Iыхьэшхуэ, егъэлеяуэ куэд"
"дозвониться","II, несов., до кого-чего телефонкIэ псэлъэн; я до вас вчера не дозвонился сэ дыгъуасэ фи деж телефонкIэ сынэпсэлъэфакъым"
"дозор","м. II (воен.) дозор, тIасхъэщIэх, къэхутакIуэ зауэлI гуп цIыкIу; посылать дозор тIасхъэщIэх (къэхутакIуэ) гъэкIуэн"
"дозорный","-ая, -ое (воен.) прил. и в знач. сущ. плъакIуэ, тIасхъэщIэх; выслать дозорных плъакIуэ (тIасхъэщIэх)"
"дозревать","I, несов. к дозреть"
"дозреть","I, сов. тк. 3 л. хъун ирикъун, гIыгъуэн; фрукты дозрели пхъэщхьэмыщхьэхэр хъуащ"
"доиграть","II (доиграю, доиграешь), сов., что, до чего, в разн. знач. нэджагусын, джэгун ухын"
"доить","II (дою, доишь и доишь), несов., кого-что къэшын; доить корову жэмыр къэшын"
"дойти","I (дойду, дойдешь), сов., до кого-чего и без доп. нэсын, нэс кIуэн; дойти до села пешком къуажэм нэсын; лъэсу; письмо дошло быстро письмор псынщIэу нэсащ; дойти до истощения къарууншэ (лъэрымыхь) хъун"
"доказательство","с. II
1. щыхьэтлыкъ щыхьэт техъуэ; убедительное доказательство шэч къызытрамыхьэж щыхьэтлыкъ
2. (мат.) доказательства (зэхэгъэкIыныгъэ, къэхутэныгъэ)"
"доказать","I (докажу, докажешь) сов., что гъэлъэгъуэн, гъэнэхуэн; докажи свою правоту уи захуагъэр къэгъэлъагъуэ; доказать теорему теоремэр къэхутэн (зэхэгъэкIын); что и требовалось доказать аращ къэхутэн хуеяр"
"доклад","м. II доклад, къэпсэлъэныгъэ; сделать доклад доклад щIын"
"докладчик","м. II доклад зыщI"
"докладывать","I, II I, несов. к доложить  I, II"
"докрасна","нареч. плъыжь хъуху; раскалить докрасна плъыжь хъуху гъэплъын"
"доктор","м. II дохутыр"
"документ","м. II документ, щыхьэт тхылъ; предъявить документ документ (щыхьэт тхылъ) егъэлъагъун"
"документальный","-ая, -ое документальнэ; документальный фильм документальнэ фильм"
"долбить","II (долблю, долбишь) несов., что къиудын, къиIущIыкIын; долбить дерево жыгыр къиIущIыкIын"
"долг","м. II
1. мн. нет къалэн, борщ; выполнить свой долг уи къалэныр гъэзэщIэн
2. щIыхуэ; вернуть долг щIыхуэр тыжын; взять в долг щIыхуэу къэщтэн
◊ первым долгом япэрауэ; быть в долгу перед кем-л. (у кого-либо) зыгуэрым и хьэкъ телъын; отдать последний долг кому-л. иужь дыдэу пщIэ хуэщIыжын (лIа нэужь)"
"долгий","-ая, -ое
1. кIыхь; долгий срок пIалъэ кIыхь; долгая зима щIымахуэ кIыхь
2. (лингв.) укъуэдия долгий гласный макъзешэ укъуэдия; не откладывая в долгий ящик кIыхьлIыхь мыщIауэ"
"долго","нареч. куэдрэ; я его долго ждал сэ абы куэдрэ сыпэплъащ"
"долговечный","-ая, -ое
1. куэдрэ псэу, куэдрэ мыкIуэдыж; долговечная дружба куэдрэ мыкIуэдыж ныбжьэгъугъэ; долговечная жизнь гъащIэ кIыхь
2. быдэ, пIалъэ кIыхькIэ псэу; долговечные трубы бжьамий быдэ"
"долгожданный","-ая, -ое куэдрэ зыпэплъа, куэдрэ зыщIэхъуэпса; долгожданное письмо куэдрэ зыпэплъа письмо"
"долголетний","-яя, -ее гъащIэ кIыхь, илъэс куэд хъу; долголетнее сотрудничество илъэс куэдкIэ зэдэлэжьэныгъэ"
"долгосрочный","-ая, -ое пIалъэ кIыхь; долгосрочный отпуск пIалъэ кIыхь зиIэ отпуск"
"долгота","ж. I
1. кн. нет кIыхьагъ; долгота дня махуэм и кIыхьагъ
2. (геогр.) долгота"
"должен","в знач. сказ.
1. с неопр. хуейщ; я должен тебе сказать об этом сэ уэ абы теухуауэ бжесIэн хуейщ
2. зыгуэрым и хьэкъ къытенэн (телъын) я тебе должен три рубля сэ уи сомищ къыстехуащ"
"должник","м. II (род. должника) щIыхуэ зытелъ"
"должность","ж. III IэнатIэ, къулыкъу; занимать должность инженера инженер къулыкъу зехьэн; освободить от должности къулыкъум тегъэкIын"
"должный","-ая, -ое
1. екIу, езэгъ, хуэфащэ; ему оказали должное внимание абы хуэфащэ гулъытэ хуащIащ
2. в знач. сущ. должное зыхуей, хуэфащэ; отдать должное комул зыгуэрым зыхуей егъэгъуэтын (хуэщIэн)"
"доливать","I, несов. к долить"
"долина","ж. I ауз; долина реки Баксан Бахъсэн ауз"
"долить","I (долью, дольешь), сов., что, чего хэкIэн, из щIын; долить молока в стакан стакацым шэ хэкIэн"
