"#name","Адыгабзэм изэхэф гущыIалъ (Ady) (western)"
"дитIупщыгъ","I (детIупщы)
лъыI. выпустил, -а, -о (из)
ДигъэкIыгъ
Къэлапчъэр Iуихи чэмыр щагум дитIупщыгъ
Шыр дитIупщыгъ
II (детIупщы)
лъыI., дэшI. отправил, -а, -о вместе с ним
Зыгорэм игъусэу ытIупщыгъ
КIэлэ гъогурыкIом икIалэ дитIупщыгъ
ИкIалэ кIэлэ бзаджэм дитIупщыгъ"
"дитIыгъ","(детIы)
лъыI., дэшI. копал, -а, -о вместе с ним, с ней
ТIэнымкIэ Iоф дишIагъ
КIалэм псынэ лIыжъым дитIыгъ
Кэнау дитIыгъ"
"дитIыкIыгъ","(детIыкIы)
лъыI. выкопал, -а, -о (середину)
Азыфагу дэлъыр ытIыгъ
ЧIыгур дитIыкIи псыр дигъэлъэдагъ"
"дитIысхьагъ","(детIысхьэ)
лъым., дэшI. сел, -а, -о вместе с ним (в)
Игъусэу итIысхьагъ
Бригадирыр трактористым машинэм дитIысхьагъ
Кум дитIысхьагъ"
"дитIэкIыгъ","I (детIэкIы)
лъыI., дэшI. раздел, -а, -о вместе с ним
ЫтIэкIы зэхъум дэIэпыIагъ
Ныом янэ сабыир дитIэкIыгъ
II (детIэкIы)
лъыI., дэшI. раздел, -а, -о, ограбил, -а, -о вместе с ним
ЗытIэкIыгъэм игъусагъ
ЛIыр бзэджашIэм дитIэкIыгъ
Тучаныр дитIэкIыгъ"
"дитIэтагъ","(детIатэ)
лъыI., дэшI. развязал, -а, -о, расстегнул, -а, -о вместе с кем-то
ТIэтэнымкIэ дэIэпыIагъ
КIапсэр дитIэтагъ
КIыIухэр дитIэтагъэх"
"диуагъ","I (део)
лъым., дэшI. запустил, -а, -о, выстрелил, -а, -о (в) вместе с ним
Игъусэу иуагъ
Унэм мыжъокIэ диуагъ
ШхончкIэ диуагъ
II (део)
лъыI., дэшI. сбивал, -а, -о масло вместе с ним
Пшъашъэм янэ тхъур диуагъ"
"диубагъ","I (деубэ)
лъыI. набил, -а, -о (в)
Ыубэзэ дизы ышIыгъ
Хьаджыгъэр ящикым диубагъ
II (деубэ)
лъыI., дэшI. утоптал, -а, -о вместе с ним
Диугъ
Джэхашъор диубагъ
Лъэгуцыр диубагъ"
"диубгъуагъ","(деубгъо)
лъыI. расстелил, -а, -о (в)
Щиубгъугъ
Алрэгъур щагум диубгъуагъ"
"диублагъ","I (деублэ)
лъыI., дэшI. начал вместе с ним
Дыригъэжьагъ
Еджэныр иныбджэгъу диублагъ
II (деублэ)
лъыI., дэшI. начал, -а, -о
Фежьагъ
Бригадэм лэжьыгъэ Iухыжьыныр ыухи бжыхьэсэ шIэным диублагъ"
"диубыгъ","I (деубы)
лъыI., дэшI. толок, -ла, -ло вместе с ним
Шъабэ дишIыгъ
Щыгъур диубыгъ
Пшъашъэм шъоущыгъу янэ диубыгъ
II (деубы)
лъыI., дэшI. злословил, -а, -о вместе с ним
IаекIэ дытегущыIагъ
Ащ ар диубыгъ"
"диубыкIыгъ","(деубыкIы)
лъыI. утопал, утоптал, -а, -о
БлынкIэр диубыкIыгъ
КъырыкIу-рыкIожьзэ диубыкIыгъ"
"диубырыугъ","(деубырыу)
лъыI., дэшI. (про) буравил, -а, -о, вместе с ним
БырыукIэ диугъоныгъ
Пхъэр диубырыугъ
Пхъэмбгъур деубырыу"
"диубытагъ","(деубытэ)
лъыI.
1. поймал, -а, -о (в)
Щиубытыгъ
ТыгъуакIор садым диубытагъ
2. прищемило
Дэнагъ
ИджэнакIэ пчъэм диубытагъ
3. запер, -ла, -ло
ДишIыхьагъ
Чэмыр Iэщым диубытагъ
4. не выпускал, -а, -о
Уаем хьакIэр чылэм диубытагъ"
"диубытыгъ","(деубыты)
лъыI., дэшI.
1. держал, -а, -о вместе с ним
ДиIыгъэу диубытыгъ
КIалэм дзыуашъхьэр ятэ диубытыгъ
2. поймал, -а, -о вместе с ним
КъыубытынымкIэ дэIэпыIагъ
Шыр диубытыгъ
3. нанял, -а, -о вместе с ним
ЫпкIэкIэ диубытыгъ
Квартирэ диубытыгъ"
"диугъоигъ","(деугъои)
лъыI., дэшI.
1. собирал, -а, -о вместе с ним
Дишыпыгъ
Шхъомч диугъоигъ
Къужъ диугъоигъ
2. убирал, -а, -о, вместе с ним
Диштагъ
Мэкъу диугъоигъ
Бгъэн диугъоигъ
3. накопил, -а, -о вместе с ним
ДызэIуигъэкIагъ
Мылъку диугъоигъ
Былым диугъоигъ"
"диугъоныгъ","(деугъоны)
лъыI., дэшI. просверлил, -а, -о вместе с ним, продырявил, -а, -о вместе с ним
Гъуанэ фишIынымкIэ IэпыIагъ
Пхъэр диугъоныгъ
Дэпкъыр диугъоныгъ"
"диугъоягъ","(деугъуае)
лъыI. собрал, -а, -о (в)
Дилъхьагъ
Ыгъотырэр зэкIэ щагум диугъоягъ
Ыгъотыгъэр зэкIэ пхъуантэм диугъоягъ"
"диуджэрэпсыгъ","(деуджэрэпсы)
лъыI., дэшI. очистил, -а, -о; оголил, -а, -о вместе с ним
Къутамэхэр дытриупкIыгъ
Ятэ чыр ыкъо диуджэрэпсыгъ"
"диузэнкIыгъ","(деузэнкIы)
лъыI., дэшI. выпрямил, -а, -о вместе с ним
IонтIагъэр занкIэ дишIыгъ
ГъучI IонтIагъэр диузэнкIыгъ
Пхъэ IонтIагъэр диузэнкIыгъ"
"диукъэбзыгъ","(деукъэбзы)
лъыI., дэшI. чистил, -а, -о; очистил, -а, -о вместе с ним
1. ЫкIышъо, ышъуампIэ дытрихыгъ
Картофыр янэ диукъэбзыгъ
Бжьыныр диукъэбзыгъ
2. Дигъэкъэбзагъ
Унэр диукъэбзыгъ
Столыр диукъэбзыгъ"
"диукIыхьагъ","(деукIыхьэ)
лъыI. убил, -а, -о (в)
ЩиукIыгъ
Тыгъужъыр чылэм диукIыхьагъ
Блэр кэнаум диукIыхьагъ"
"диулъэшъоугъ","(деулъэшъоу)
лъыI., дэшI. бороновал, -а, -о вместе с ним
Лъашъо деуагъ
КIалэм хьасэр диулъэшъоугъ"
"диунэкIыгъ","(деунэкIы)
лъыI., дэшI. разгрузил, -а, -о вместе с ним, опорожнил, -а, -о вместе с ним
Илъыр дырихыгъ
Машинэр диунэкIыгъ
Пхъэ кухьэр диунэкIыгъ
Дзыохэр диунэкIыгъэх"
"диупкIагъ","I (деупкIэ)
лъыI., дэшI. косил, -а, -о вместе с ним, рубил, -а, -о вместе с ним
ДыпиупкIыгъ
КIалэм ятэ мэкъу диупкIагъ
Коц диупкIагъ
II (деупкIэ)
лъыI. заткнул, -а, -о (за, в)
Дикуагъ
ДзэкIолIым ишинелыкIэ ибгырыпхы диупкIагъ
Хьэм ыкIэ диупкIагъ"
"диупкIэпкIыгъ","(деупкIэпкIы)
лъыI., дэшI. очистил, -а, -о (от шелухи) вместе с ним
ИшъуампIэ дытырихыгъ
Натрыф диупкIэпкIыгъ
Бжьыныр диупкIэпкIыгъ"
"диупкIэтагъ","(деупкIатэ)
лъыI., дэшI. нарезал, -а, -о, порезал, -а, -о вместе с ним
УпкIэтэнымкIэ дэIэпыIагъ
КIалэм лыр янэ диупкIэтагъ
Картофыр диупкIэтагъ"
"диуплъэкIугъ","(деуплъэкIу)
лъыI., дэшI. проверил, -а, -о вместе с ним
Диушэтыгъ
Ащ лIыгъэу хэлъыр диуплъэкIугъ
Iофыр зытетыр диуплъэкIугъ"
"диуплIэплIыгъ","(деуплIэплIы)
лъыI., дэшI. расплющил, -а, -о вместе с ним
ДиупIокIыгъ
Гъуаплъэр диуплIэплIыгъ"
"диупсыгъ","(деупсы)
лъыI., дэшI. очистил, -а, -о, побрил, -а, -о вместе с ним
ШъуампIэр чанкIэ дытырихыгъ
Картоф диупсыгъ
Чыр диупсыгъ"
"диусыгъ","(деусы)
лъыI., дэшI. сочинил, -а, -о вместе с ним
Дызэхилъхьагъ, дыхихыгъ
Орэд диусыгъ
Гъыбзэ диусыгъ"
"диусэягъ","(деусае)
лъыI. прислонил, -а, -о, приставил, -а, -о (в)
Еусэигъэу дигъэуцуагъ
Хьанцэр блынкIэм диусэягъ"
"диутхагъ","(деутхэ)
лъыI. набрызгал, -а, -о (в), разбрызгал, -а, -о (в)
Ыутхэзэ дикIагъ
Ящикым псы диутхагъ
Щагум псы диутхагъ"
"диутыгъ","(деуты)
лъыI. выбил, -а, -о (в)
Еозэ дихыгъ
Псым хьалыгъуанэ диутыгъ"
"диутIагъ","(деутIэ)
лъыI. запрудил, -а, -о
Дидзуагъ
Псыр диутIагъ, деутIэ"
"диутIэрэхъагъ","(деутIэрахъэ)
лъыI. залепил, -а, -о, налепил, -а, -о (в)
ДиутIэтIагъ
КIуаджэти щэрэхъым псынжъыр диутIэрэхъагъ"
"диуфагъ","(деуфэ)
лъыI., дэшI. согнул, -а, -о вместе с ним
ДиIонтIагъ
Чыр диуфагъ
ГъучIыр диуфагъ"
"диухыгъ","(деухы)
лъыI., дэшI.
1. закончил, -а, -о вместе с ним
Зыр зеухым адрэри ыухыгъ
ДакIом джанэм гъончэджыри диухыгъ
Бысымгуащэм хьаджыгъэм тхъури диухыгъ
2. согласовал, -а, -о (с)
Унашъо дишIыгъ
КIалэм пшъашъэм Iоф диухыгъ"
"диухыхьагъ","(деухыхьэ)
лъыI. истратил, -а, -о (в)
Зыдэсым, зыдэщыIэм щиухыгъ
Ахъщэу иIэр къалэм диухыхьагъ"
"диухьагъ","(деухьэ)
лъыI. обошел, -а, -о
ДикIухьагъ
Псынжъым дикIухьагъ
Зыдыщыпсынжъ чIыпIэхэр диухьэзэ къэкIуагъ"
"диуцIэпIыкIыгъ","(деуцIэпIыкIы)
лъыI. напачкал, -а, -о, испачкал, -а, -о
ДиушIоикIыгъ
Коридорыр диуцIэпIыкIыгъ
Щагур диуцIэпIыкIыгъ"
"диуцIэрэпхъагъ","(деуцIэрапхъэ)
лъыI. нацарапал, -а, -о (в)
Iаеу, къихыгъуаеу дитхагъ
Тетрадым диуцIэрэпхъагъ"
"диушэтыгъ","(деушэты)
лъыI., дэшI. испытал, -а, -о, проверил, -а, -о, установил, -а, -о вместе с ним
ДиуплъэкIугъ
Ащ псым икIыгъоу иIэхэр диушэтыгъэх
Ащ Iофым икъиныгъэ иныбджэгъу диушэтыгъ"
"диушъагъ","(деушъэ)
лъыI., дэшI. набил, -а, -о вместе с ним
Изы дишIыгъ
КIалэм ятэ дзыохэр диушъагъэх
Кур диушъагъ"
"диушъэбыгъ","(деушъэбы)
лъыI. еплъ <<диубыгъ>>"
"диушъэфыгъ","(деушъэфы)
лъыI., дэшI. скрывал, -а, -о вместе с ним
ЫмыIуатэу диухъумагъ
Иныбджэгъу ишъэф диушъэфыгъ"
"диушIоигъ","(деушъои)
лъыI., дэшI. запачкал, -а, -о вместе с ним
ШIои дишIыгъ
Тхылъыр диушIоигъ
Столыр диушIоигъ"
"диушIоихьагъ","(деушIоихьэ)
лъыI. запачкал, -а, -о (в)
ДиуцIэпIыхьагъ, шIои дишIыхьагъ
Ицуакъэ Iэщым диушIоихьагъ
◊ КIалэр диушIоихьагъ — втоптал в грязь юношу
ЕмыкIу дишIыхьагъ"
"диуIубагъ","(деуIубэ)
лъыI. опрокинул, -а, -о (в)
ЫчIэ къыдэгъэзыягъэу дигъэуцуагъ
Лэджэныр щагум диуIубагъ
Пхъэчаир щагум диуIубагъ"
"диуIугъ","(деуIу)
лъыI., дэшI. отбил, -а, -о лезвие режущего орудия вместе с ним
Щэмэджыр диуIугъ
ГъукIэм цуабзэр диуIугъ"
"диуIэрэпшыгъ","(деуIэрэпшы)
лъыI., дэшI. слепил, -а, -о вместе с ним
IэкIэ такъырэу дипшагъ
Хьэтыкъэу ыгъэжъэщтыр янэ диуIэрэпшыгъ"
"дифыгъ","I (дефы)
лъыI. выгнал, -а, -о (из)
ДигъэзыкIыгъ
Чэмыр щагум дифыгъ
Чэмыр Iахъогъум дифыгъ
II (дефы)
лъыI., дэшI. гнал, -а, -о вместе с ним
Деуагъ, ыфынымкIэ дэIэпыIагъ
КIалэм янэ чэмыр ядэжь дифыгъ
III (дефы)
лъыI., дэшI. раскатал, -а, -о вместе с ним
ПIуакIэ дишIыгъ
Пшъашъэм янэ тхьацур дифыгъ"
"дифызыгъ","(дефызы)
лъыI., дэшI. выжал, -а, -о вместе с ним, стиснул, -а, -о вместе с ним, сжал, -а, -о вместе с ним
ФызынымкIэ дэIэпыIагъ
Янэ пшъашъэм щыгъын цIынэр дифызыгъ
КIалэм гъукIэм щэрэхъыр дифызыгъ"
"дифыкIагъ","(дефыкIэ)
лъыI., дэшI. мыл, -а, -о голову вместе с ним
Ышъхьац дитхьакIыгъ
Ышъхьэ дифыкIагъ"
"дифыхыгъ","(дефыхы)
лъыI. согнал, -а, -о (с)
Дигъэхыгъ
Гъогум кур дифыхыгъ
Шыр дифыхыгъ"
"дифыягъ","(дефые)
лъыI.
1. подбросил, -а, -о вверх, запустил, -а, -о, заставил взлететь
Еуи дидзыягъ
Хьашъо Iэгуаор дифыягъ
2. поднял, -а, -о
ДишIэягъ
Унэм ыпкъ хьазырэу дифыягъ"
"дифэпагъ","(дефапэ)
лъыI., дэшI. одел, -а, -о его вместе с ним
Щыгъынхэр дыщилъагъ
Ным кIалэр пшъашъэм дифэпагъ"
"дихыгъ","I (дехы)
лъыI.
1. вынул, -а, -о (из, с) вынес, -ла, -ло (из, с)
Зыдэлъым дэIаби дихыгъ
Ахъщэр ахъщалъэм дихыгъ
Пхъуантэм дэлъыр зэкIэ дихыгъ
Винтовкэм щэр дихыгъ
Щагум пхъэр дихыгъ
2. ехьщ. унес, -ла, -ло, нанес, -ла, -ло большой ущерб
Зэрарышхо ригъэкIыгъ
Псым чылэр дихыгъ
II (дехы)
лъыI., дэшI. жал, -а, -о вместе с ним
ГъупчъэкIэ, косилкэкIэ диупкIагъ
Мэщыр дихыгъ
Коцыр дихыгъ
Къамыл дихыгъ"
"дихыжьыгъ","(дехыжьы)
лъыI., забрал, -а, -о обратно все (из)
Зыдэлъыгъэм дихи ыхьыжьыгъ
Иеу щагум дэлъыгъэр дихыжьыгъ
Иунэу щагум дэтыгъэр дихыжьи хэпIакIэм ригъэуцожьыгъ
Тхылъэу шкафым дилъхьагъэр дихыжьыгъ"
"дихын","(дихыныр дихыгъэ)
гл. имасд.
1. вынимать (из)
Портфелым тхылъыр дихын фае хъугъэ
2. уносить, нанести ущерб
Псым чылэр дихынкIэ щынагъо
3. жать вместе с ним
КIалэр игъунэгъум мэщ дихынэу кIуагъэ"
"дихъугъ","(дехъу)
лъыI., дэшI. разводил, -а, -о вместе с ним
Дилэжьыгъ
Былым дихъугъ
◊ Къин дихъугъ — потрудился над ним"
"дихъугъэр","(дихъурэр)
зыгъ. прич. то, что он разводил, -а, -о
Ащ бжьэу дихъугъэр бэгъуагъэ
Ащ былымэу дихъурэр мэбагъо
◊ Къинэу дихъугъэр бэ — потрудился над ним, много труда вложил"
"дихъункIагъ","(дехъункIэ)
лъыI., дэшI. ограбил, -а, -о вместе с ним
Дытрихыгъ
ТехакIом игъусэу лIыр дихъункIагъ
Тучаныр дихъункIагъ"
"дихьагъ","I (дехьэ)
лъыI., дэшI. зашел, -а, -о вместе с ним
Игъусэу дихьагъ
Унэм дихьагъ
ХьакIэм игъусэу хьакIэщым дихьагъ
II (дехьэ)
лъыI. занес, -ла, -ло (в)
Ыхьызэ дэхьагъ
Дзыо ушъагъэр ытамэ телъэу щагум дихьагъ
Псым пхъэр ыхьызэ, кIэим дихьагъ"
"дихьыгъ","(дехьы)
лъыI., дэшI.
1. нес, -ла, -ло вместе с ним
Зыхьырэм IэпыIагъ
Чэмэдан онтэгъур дихьыгъ
Пхъэр дихьыгъ
2. прожил, -а, -о вместе с ним
ДигъэшIагъ
Ащ егъашIэр гугъумыгъукIэ дихьыгъ
3. совмещал, -а, -о
Зы IэнатIэм нэмыкI IэнатIэр дигъэцэкIагъ
Ащ секретарыгъэм кассир IэнатIэри дехьы"
"дихьыягъ","(дехьые)
лъыI.
1. поднял, -а, -о
ДиIэтэягъ
Быракъыр дихьыий, лъагэу пилъагъ
2. поднял, -а, -о и положил, -а, -о
ЫIэти тырилъхьагъ
КIашъом натрыф дихьыягъ
3. ехьщ. возвысил, -а, -о
Ыгъэиныгъ, ыгъэлъэпIагъ
Ащ ар дихьыягъ"
"дихьыхыгъ","(дехьыхы)
лъыI. полюбил, -а, -о, понравился, -лась, -лось
Ыгу рихьыгъ, шIу ылъэгъугъ
КIалэр пшъашъэм дихьыхыгъ"
"дихьыхыгъэр","(дихьыхырэр)
зыгъ. прич. влюбленный, влюбившийся, -аяся, -ееся
Зыгу рихьыгъэр
КIалэу дихьыхыгъэр пшъашъэм дэжь кIуагъэ"
"дихьыхын","(дихьыхыныр дихьыхыгъ)
гл. имасд. полюбить, понравиться
Пшъашъэм кIалэр дихьыхынкIэ енэгуягъо"
"дихьаджыгъ","(дехьаджы)
лъыI., дэшI. молол, -а, -о вместе с ним
Хьаджыгъэ дишIыгъ
Коцыр дихьажьыгъ"
"дихьакIагъ","(дехьакIэ)
лъыI., дэшI. угощал, -а, -о, чествовал, -а, -о вместе с ним
ХьакIэм игъусэу дигъэшхагъ, дилъытагъ
Ар хьакIэм дихьакIагъ"
"дицохъуагъ","(децуахъо)
лъым., дэшI.
1. заполз, -ла, -ло вместе с ним
Цуахъозэ, пшызэ дихьагъ
Гъуанэм дицохъуагъ
2. пхъэтэп. ввалился, -лась, -лось
ДэцIанлъэ
КъакIо къырамыIуагъэу макIошъ кIалэм игъусэу унэм децуахъо"
"дицунтхъагъ","(децунтхъэ)
лъыI., дэшI. разорвал, -а, -о в клочья вместе с ним
ДызэIитхъыгъ
Тхылъыр дицунтхъагъ"
"дицIыцIыхьагъ","(децIыцIыхьэ)
лъыI. помял, -а, -о (в)
ТхылъыпIэр портфелым дицIыцIыхьагъ"
"дицIэлагъ","(децIалэ)
лъыI., дэшI. запачкал, -а, -о вместе с ним
ДиушIоигъ
Тетрадыр кIэлэ бзаджэм дицIэлагъ"
"дицIэлыгъ","(децIэлы)
лъыI. замазал, -а, -о, вмазал, -а, -о
ДиупцIэзэ щифагъ
Дэпкъ зэгочыгъэм ятIэ дицIэлагъ"
"дичыгъ","(дечы)
лъыI. нарвал, -а, -о (в), вырвал, -а, -о (из)
Зыдэтым дитхъыгъ
Бжьыныр хатэм къыдичыгъ
Тхылъым тхьапэ дичыгъ"
"дичэтхъагъ","(дечатхъэ)
лъыI., дэшI.
1. разорвал, -а, -о (в клочья) вместе с ним
ЗэIытхъыкIаеу дызэIитхъыгъ
КIэлэ бзаджэм игъусэу джанэр дачэтхъагъ
2. разорвал, -а, -о на куски вдоль вместе с ним
ЧынкIэпщым фэдэу ычэтхъагъ"
"дичъыгъ","I (дечъы)
лъым., дэшI. выбежал, -а, -о вместе с ним
Игъусэу, псынкIэу икIыгъ
Пшъашъэр кIалэм унэм дичъыгъ
II (дечъы)
лъыI., дэшI. пробежал, -а, -о вместе с ним
Чъэзэ дикIугъ
Километрэ фэдиз дичъыгъ
Велосипедистэм километритIу дичъыгъ"
"диштагъ","(дештэ)
лъыI., дэшI.
1. согласился, -лась, -лось с ним
ЫIорэмкIэ гоуцуагъ
ЫIорэр диштагъ
Iофыр диштагъ
2. взял, -а, -о вместе с ним
Игъусэу ыштагъ
Дзыор диштагъ
3. собрал, -а, -о
ДиуIэгугъ
Мэкъур диштагъ
4. лъым. сработался, -лась, -лось
ДекIугъ
IофшIэнымкIэ дештэ"
"дишхыгъ","(дешхы)
лъыI., дэшI.
1. кушал, -а, -о вместе с ним
Игъусэу ышхыгъ
Хьалыгъум къуае дишхыгъ
ПIастэм лы гъэжъагъэ дишхыгъ
2. ехьщ. растратил, -а, -о вместе с ним
Дигощыгъ, дигъэкIодыгъ
Ахъщэр дишхыгъ
Лэжьыгъэр дишхыгъ"
"дишхыхьагъ","(дешхыхьэ)
лъыI.
1. съел, -а, -о (в)
Щишхыгъ
Тыгъужъым мэлыр хъуатэм дишхыхьагъ
2. ехьщ. растратил, -а, -о
Ахъщэр къалэм дишхыхьагъ"
"дишыгъ","(дешы)
лъыI., дэшI. измерил, -а, -о вместе с ним
ИшынкIэ дэIэпыIагъ
КIэлэеджакIор дежурнэм игъусэу классым икIыхьагъэрэ ишъомбгъуагъэрэ дишыгъ
ЧIыгур бригадирым дишыгъ"
"дишъагъ","(дешъэ)
лъыI., дэшI. ткал, -а, -о вместе с ним
ШъэнымкIэ дэIэпыIагъ
Пшъашъэм янэ шъагъэ дишъагъ
Цыяпхъэ дишъагъ"
"дишIагъ","I (дешIэ)
лъыI., дэшI. работал, -а, -о вместе с ним
Дэлэжьагъ
Iоф дишIагъ
А кIалэм ащ къулыкъу дишIагъ
II (дешIэ)
лъыI., дэшI. знал, -а, -о (про него)
Ащ ыгу илъыр дишIагъ
Ащ дишIэрэр бэ мэхъу
Ащ бэу дишIагъ"
"дишIыгъ","(дешIы)
лъыI., дэшI.
1. сделал, -а, -о, устроил, -а, -о, вместе с ним
Дигъэпсыгъ
Унэ дишIыгъ
Ешхэешъо дишIыгъ
Джэгу дишIыгъ
2. решил вместе с ним
Унашъо дишIыгъ
Хьакурынэхьаблэ неущ зэдэкIонхэу унашъо дишIыгъ"
"дишIыхьагъ","I (дешIыхьэ)
лъыI.
1. построил, -а, -о (в)
ЩишIыгъ
Щагум унэ дишIыхьагъ
Чылэм унэ дишIыхьагъ
2. посадил, -а, -о (в)
ДигъэтIысхьагъ
Хатэм бжьын дишIыхьагъ
Хатэм къэбаскъэ дишIыхьагъ
II (дешIыхьэ)
лъыI. запер, -ла, -ло (в)
Зыдэтым къыдэмыкIынэу пчъэр ыгъэпытагъ
Чэмыр Iэщым дишIыхьагъ"
"дишIыягъ","(дешIые)
лъыI. поднял, -а, -о
Дифыягъ
Унэм ыпкъ дишIыягъ"
"дищагъ","I (дещэ)
лъыI.
1. завел, -а, -о (в)
IэкIэ ыкъудыизэ дищагъ
Тачкэр щагум дищагъ
ХьакIэр ядэжь дищагъ
2. провел, -а, -о (в)
ПроводкIэ дищагъ
Псыр ищагу дищагъ сырбыкIэ
II (дещэ)
лъыI., дэшI. вместе с ним вез, -ла, -ло (в)
ДеIэзэ диукъудыизэ дищагъ
КIалэм кур лIыжъым дищагъ
III (дещэ)
лъыI. продал, -а, -о вместе с ним
АхъщэкIэ ыщэнымкIэ дэIэпыIагъ
КIалэм лыр лIыжъым дищагъ"
"дищхагъ","(дещхэ)
лъыI.
1. вклеил, -а, -о (в)
ПцантхьэкIэ дигъэпкIагъ
Тхьапэр тхылъым дищхагъ
2. положил, -а, -о в гипс вместе с ним
ЩхэнымкIэ IэпыIагъ
ЛIым уIагъэр Iазэм дищхагъ"
"дищыгъ","I (дещы)
лъыI.
1. вывел, -а, -о; вывез, -ла, -ло (из)
Зыдэтым дищыгъ
Шыр щагум дищыгъ
Ебзыр щагум дищыгъ
2. провел, -а, -о вверх
Дищэягъ
Шым кухьэр ерагъэу бгым дищыгъ
II (дещы)
лъыI., дэшI. стриг, остриг вместе с ним
Диупхъуагъ
Мэлыр дищыгъ
III (дещы)
лъыI., дэшI. помог, -ла, -ло доить
Пшъэшъэжъыем янэ чэмыр дищыгъ"
"дищыжьыгъ","(дещыжьы)
лъыI. вывез, -ла, -ло; вывел, -а, -о окончательно; вывел, -а, -о, вывез, -ла, -ло оставшуюся часть
Къыдинэгъагъэр дищи ыщэжьыгъ
Шэу къыдинэгъагъэр щагум дищыжьыгъ
Бысымым хьакIэр дищыжьыгъ"
"дищытIагъ","(дещытIэ)
лъыI., дэшI.
1. растер, -ла, -ло вместе с ним
Нысэм джэнчыр ныом дищытIагъ
2. разгладил, -а, -о
ДигъэплIагъ
Пшъашъэм дышъэу ышъагъэр нысэм щытIапкъэмкIэ дищытIагъ"
"дищыугъ","(дещыу)
лъыI., дэшI. посолил, -а, -о вместе с ним
Щыгъу дытыритэкъуагъ
Нысэм лыр ныом дещыу"
"дищыIагъ","(дещыIэ)
лъыI., дэшI. терпел, -а, -о вместе с ним
Дищэчыгъ
Ащ дищыIагъэр бэ
Ащ боу дещыIэ"
"дищэжьыгъ","(дещэжьы)
лъыI., дэшI. привел, -а, -о обратно, завел обратно (в)
Шэу дищыгъагъэр щагум дищэжьыгъ
Тачкэр ядэжь дищэжьыгъ"
"дищэигъ","(дещэи)
лъыI., дэшI.
просунул, -а, -о (в)
Дигъэщыгъ
ЫIэ пчъэм дищэигъ
Ышъхьэ пчъэм дищэигъ"
"дищэикIыгъ","(дещэикIы)
лъыI. еплъ <<дищэигъ>>"
"дищэфыгъ","(дещэфы)
лъыI., дэшI. купил, -а, -о вместе с ним
Ыуасэ дити ыщэфыгъ
Иныбджэгъу машинэ дищэфыгъ"
"дищэхыгъ","I (дещэхы)
лъыI. мял, -а, -о кожу
ШъуаIом дигъэкIыгъ
Шъор шъуаIомкIэ дищэхыгъ
Ныбэпхыр дищэхыгъ
II (дещэхы)
лъыI.
1. отвел, -а, -о в сторону
ЛIыр купым ахищи дищэхыгъ
Дищэхи дэгущыIагъ
2. перетянул, -а, -о на свою сторону
ЫгъэдэIуагъ
Ежь ылъэныкъокIэ дищэхыгъ"
"дищэчыгъ","(дещэчы)
лъыI., дэшI.
1. взвесил, -а, -о вместе с ним
ЩэчалъэкIэ зыгорэ дищэчыгъ
Коцыр дищэчыгъ
2. ехьщ. пережил, -а, -о вместе с ним
Къин дилъэгъугъ
Ащ къинэу телъыр дищэчыгъ"
"дищэягъ","(дещае)
лъыI.
1. поднял, -а, -о
ДиIэтыягъ
Псынжъым хэмыонэу ипалътэукIэ дищэягъ
2. повез, -а, -о наверх
Илъэу, исэу дищыгъ
Лъэсэу, шыоу, кукIэ, машинэкIэ бгым дищэягъ
3. повел, -а, -о наверх
Унэ зэтетым ящэнэрэ этажым дищэягъ"
"диIонтIагъ","(деIуантIэ)
лъыI., дэшI. крутил, -а, -о вместе с ним
Дигъэщыгъ
ГъучIыр гъукIэм диIонтIагъ"
"диIонтIэхыгъ","(деIонтIэхы)
лъыI., свернул, -а, -о
Дэхыгъ
Шыум гъогум диIонтIэхыгъ"
"диIопщыгъ","(деIопщы)
лъыI., дэшI. сообщил, -а, -о вместе с ним
ЗыIопщыгъэм игъусэу къэбар дигъэIугъ
А IофымкIэ ащ диIопщыгъ"
"диIотагъ","(деIуатэ)
лъыI., дэшI. рассказал, -а, -о вместе с ним
Игъусэу ыIотагъ
Къэбарыр ащ диIотагъ
Шъэфыр диIотагъ"
"диIотыгъ","(деIоты)
лъыI., дэшI. мял, -а, -о вместе с ним
Дигъэшъэбагъ
КIалэм ятэ шъор диIотыгъ"
"диIофытагъ","(деIофытэ)
лъыI., дэшI. послал, -а, -о вместе с ним (с поручением)
Iофы горэм пае ыгъэкIуагъэм гъусэ фишIыгъ
ЛIыжъым лIэу ыIофытагъэм кIалэри диIофтагъ"
"диIофытагъэр","(диIофытэрэр)
зыгъ. прич. отправленный, -ая, -ое вместе с ним
ЛIыжъым кIалэу лIым диIофтагъэр къэкIожьыгъ"
"диIуагъ","(деIо)
лъыI., дэшI.
1. сказал, -а, -о вместе с ним
ЫIорэмкIэ игъус
Ащ ыIорэр ежьми деIо
2. поддакивал, -а, -о
Дырегъаштэ
ЫшIымышIэми ыIорэр деIо
◊ Тхьэ диIуагъ — поклялся, -лась, -лось вместе с ним"
"диIугъ","(деIу)
лъыI. воткнул, -а, -о (в)
Бэщыр чэум диIугъ"
